ID,Assignments (100),Midterm (100),Final (100),Assignments (30%),Midterm (35%),Final (35%),Total (100%),Grade
XX01090,13,13,60,,,,,
XX01091,33,100,50,,,,,
XX01092,0,50,78,,,,,
XX01093,63,27,38,,,,,
XX01094,63,33,70,,,,,
XX01095,37,33,68,,,,,
XX01096,97,43,48,,,,,
XX01097,63,70,48,,,,,
XX01098,73,100,18,,,,,
XX01099,67,7,2,,,,,
XX01100,0,17,82,,,,,
XX01101,3,87,98,,,,,
XX01102,3,17,35,,,,,
XX01103,57,97,85,,,,,
XX01104,17,3,78,,,,,
XX01105,43,43,78,,,,,
XX01106,53,50,12,,,,,
XX01107,13,33,95,,,,,
XX01108,37,17,42,,,,,
XX01109,10,77,2,,,,,
XX01110,73,0,22,,,,,
XX01111,20,3,60,,,,,
XX01112,80,63,48,,,,,
XX01113,83,33,95,,,,,
XX01114,93,90,60,,,,,
XX01115,90,63,92,,,,,
XX01116,83,43,8,,,,,
XX01117,53,37,8,,,,,
XX01118,93,97,78,,,,,
XX01119,37,27,75,,,,,
XX01120,90,23,57,,,,,
XX01121,50,63,55,,,,,
XX01122,60,87,5,,,,,
XX01123,13,60,12,,,,,
XX01124,100,57,18,,,,,
XX01125,60,23,80,,,,,
XX01126,90,50,68,,,,,
XX01127,60,70,82,,,,,
XX01128,97,50,95,,,,,
XX01129,80,73,0,,,,,
XX01130,23,100,20,,,,,
XX01131,23,23,25,,,,,
XX01132,37,7,78,,,,,
XX01133,73,0,38,,,,,
XX01134,87,63,78,,,,,
XX01135,97,30,38,,,,,
XX01136,47,13,42,,,,,
XX01137,3,40,8,,,,,
XX01138,57,13,98,,,,,
XX01139,40,77,75,,,,,
XX01140,10,17,40,,,,,
XX01141,13,70,42,,,,,
XX01142,80,23,2,,,,,
XX01143,30,37,5,,,,,
XX01144,40,40,30,,,,,
XX01145,63,23,42,,,,,
XX01146,100,97,55,,,,,
XX01147,47,50,0,,,,,
XX01148,7,87,68,,,,,
XX01149,40,33,100,,,,,
XX01150,77,3,5,,,,,
XX01151,100,20,88,,,,,
XX01152,27,63,35,,,,,
XX01153,53,80,30,,,,,
XX01154,40,10,57,,,,,
XX01155,13,83,68,,,,,
XX01156,13,100,80,,,,,
XX01157,33,27,78,,,,,
XX01158,93,3,75,,,,,
XX01159,83,67,35,,,,,
XX01160,7,67,68,,,,,
XX01161,27,100,88,,,,,
XX01162,50,17,18,,,,,
XX01163,13,50,45,,,,,
XX01164,43,60,75,,,,,
XX01165,60,37,55,,,,,
XX01166,80,90,32,,,,,
XX01167,87,60,72,,,,,
XX01168,3,83,60,,,,,
XX01169,70,37,2,,,,,
XX01170,7,57,75,,,,,
XX01171,33,60,52,,,,,
XX01172,100,63,98,,,,,
XX01173,47,53,98,,,,,
XX01174,3,67,92,,,,,
XX01175,87,97,28,,,,,
XX01176,67,77,100,,,,,
XX01177,70,90,48,,,,,
XX01178,73,27,40,,,,,
XX01179,90,97,0,,,,,
XX01180,60,7,68,,,,,
XX01181,57,90,60,,,,,
XX01182,97,67,100,,,,,
XX01183,30,53,90,,,,,
XX01184,10,23,60,,,,,
XX01185,3,20,42,,,,,
XX01186,43,77,88,,,,,
XX01187,80,20,45,,,,,
XX01188,57,80,82,,,,,
XX01189,63,97,10,,,,,
XX01190,40,7,75,,,,,
XX01191,47,53,12,,,,,
XX01192,7,70,52,,,,,
XX01193,0,90,60,,,,,
XX01194,30,20,10,,,,,
XX01195,23,97,25,,,,,
XX01196,47,53,28,,,,,
XX01197,17,80,88,,,,,
XX01198,50,57,75,,,,,
XX01199,87,63,42,,,,,
XX01200,13,17,8,,,,,
XX01201,50,13,90,,,,,
XX01202,20,83,20,,,,,
XX01203,77,93,30,,,,,
XX01204,63,67,45,,,,,
XX01205,57,97,85,,,,,
XX01206,47,20,68,,,,,
XX01207,0,57,55,,,,,
XX01208,30,50,98,,,,,
XX01209,47,30,10,,,,,
XX01210,10,23,12,,,,,
XX01211,33,23,92,,,,,
XX01212,33,73,40,,,,,
XX01213,97,7,78,,,,,
XX01214,17,93,95,,,,,
XX01215,73,57,0,,,,,
XX01216,7,40,62,,,,,
XX01217,90,40,60,,,,,
XX01218,10,37,52,,,,,
XX01219,83,60,80,,,,,
XX01220,27,17,40,,,,,
XX01221,97,33,35,,,,,
XX01222,57,23,50,,,,,
XX01223,53,57,92,,,,,
XX01224,100,3,62,,,,,
XX01225,87,87,68,,,,,
XX01226,3,57,80,,,,,
XX01227,67,97,50,,,,,
XX01228,50,70,70,,,,,
XX01229,57,100,35,,,,,
XX01230,0,60,45,,,,,
XX01231,43,93,65,,,,,
XX01232,33,0,2,,,,,
XX01233,33,63,88,,,,,
XX01234,7,17,32,,,,,
XX01235,60,50,28,,,,,
XX01236,87,0,12,,,,,
XX01237,3,3,60,,,,,
XX01238,17,47,15,,,,,
XX01239,30,90,60,,,,,
XX01240,83,33,18,,,,,
XX01241,53,83,68,,,,,
XX01242,20,17,82,,,,,
XX01243,60,3,92,,,,,
XX01244,77,10,40,,,,,
XX01245,73,80,42,,,,,
XX01246,20,97,2,,,,,
XX01247,70,60,100,,,,,
XX01248,30,3,95,,,,,
XX01249,100,27,25,,,,,
XX01250,47,73,25,,,,,
XX01251,10,3,95,,,,,
XX01252,10,30,32,,,,,
XX01253,53,80,52,,,,,
XX01254,60,3,40,,,,,
XX01255,10,47,60,,,,,
XX01256,0,47,65,,,,,
XX01257,47,63,52,,,,,
XX01258,57,43,20,,,,,
XX01259,37,7,88,,,,,
XX01260,0,50,25,,,,,
XX01261,50,97,62,,,,,
XX01262,17,7,20,,,,,
XX01263,20,50,28,,,,,
XX01264,73,10,68,,,,,
XX01265,0,67,65,,,,,
XX01266,87,0,78,,,,,
XX01267,20,47,35,,,,,
XX01268,13,20,22,,,,,
XX01269,33,53,70,,,,,
XX01270,80,57,45,,,,,
XX01271,53,40,85,,,,,
XX01272,3,63,98,,,,,
XX01273,33,93,42,,,,,
XX01274,90,23,92,,,,,
XX01275,97,20,0,,,,,
XX01276,10,3,38,,,,,
XX01277,17,43,28,,,,,
XX01278,17,23,65,,,,,
XX01279,7,83,25,,,,,
XX01280,0,3,50,,,,,
XX01281,47,40,85,,,,,
XX01282,87,47,10,,,,,
XX01283,83,0,22,,,,,
XX01284,33,30,2,,,,,
XX01285,67,80,8,,,,,
XX01286,30,27,25,,,,,
XX01287,100,30,8,,,,,
XX01288,27,23,98,,,,,
XX01289,90,47,22,,,,,
XX01290,90,27,55,,,,,
XX01291,20,100,57,,,,,
XX01292,77,40,25,,,,,
XX01293,63,63,95,,,,,
XX01294,100,50,35,,,,,
XX01295,43,33,52,,,,,
XX01296,20,100,10,,,,,
XX01297,87,3,52,,,,,
XX01298,47,100,15,,,,,
XX01299,13,100,22,,,,,
XX01300,20,30,25,,,,,
XX01301,10,87,10,,,,,
XX01302,57,57,2,,,,,
XX01303,17,63,90,,,,,
XX01304,73,20,80,,,,,
XX01305,20,53,35,,,,,
XX01306,93,57,95,,,,,
XX01307,47,87,20,,,,,
XX01308,7,67,70,,,,,
XX01309,23,47,88,,,,,
XX01310,63,63,68,,,,,
XX01311,87,90,35,,,,,
XX01312,40,30,98,,,,,
XX01313,77,67,100,,,,,
XX01314,23,23,68,,,,,
XX01315,83,77,52,,,,,
XX01316,3,60,18,,,,,
XX01317,30,57,68,,,,,
XX01318,0,3,60,,,,,
XX01319,87,87,88,,,,,
XX01320,47,43,38,,,,,
XX01321,37,0,48,,,,,
XX01322,33,70,50,,,,,
XX01323,3,40,72,,,,,
XX01324,13,23,72,,,,,
XX01325,63,47,80,,,,,
XX01326,77,3,85,,,,,
XX01327,40,100,92,,,,,
XX01328,7,90,10,,,,,
XX01329,3,90,100,,,,,
XX01330,60,80,2,,,,,
XX01331,7,60,40,,,,,
XX01332,13,17,85,,,,,
XX01333,83,7,28,,,,,
XX01334,43,50,72,,,,,
XX01335,40,3,90,,,,,
XX01336,63,23,32,,,,,
XX01337,30,53,8,,,,,
XX01338,90,90,55,,,,,
XX01339,53,10,68,,,,,
XX01340,93,47,18,,,,,
XX01341,57,67,42,,,,,
XX01342,30,3,90,,,,,
XX01343,3,33,2,,,,,
XX01344,40,57,98,,,,,
XX01345,20,37,40,,,,,
XX01346,93,57,0,,,,,
XX01347,27,37,90,,,,,
XX01348,13,50,40,,,,,
XX01349,60,90,72,,,,,
XX01350,63,70,20,,,,,
XX01351,83,10,12,,,,,
XX01352,100,10,8,,,,,
XX01353,57,70,30,,,,,
XX01354,53,50,92,,,,,
XX01355,40,53,75,,,,,
XX01356,37,40,100,,,,,
XX01357,17,20,78,,,,,
XX01358,67,47,65,,,,,
XX01359,47,57,5,,,,,
XX01360,20,40,57,,,,,
XX01361,0,3,82,,,,,
XX01362,37,13,92,,,,,
XX01363,43,63,85,,,,,
XX01364,70,3,38,,,,,
XX01365,90,87,65,,,,,
XX01366,80,30,70,,,,,
XX01367,80,27,12,,,,,
XX01368,87,80,30,,,,,
XX01369,73,40,78,,,,,
XX01370,73,73,95,,,,,
XX01371,17,27,68,,,,,
XX01372,83,93,70,,,,,
XX01373,53,3,0,,,,,
XX01374,83,57,10,,,,,
XX01375,43,97,75,,,,,
XX01376,77,50,0,,,,,
XX01377,93,37,22,,,,,
XX01378,53,63,0,,,,,
XX01379,50,67,25,,,,,
XX01380,100,53,28,,,,,
XX01381,53,100,50,,,,,
XX01382,0,73,98,,,,,
XX01383,60,37,2,,,,,
XX01384,80,27,8,,,,,
XX01385,10,93,22,,,,,
XX01386,60,43,42,,,,,
XX01387,77,97,22,,,,,
XX01388,77,60,40,,,,,
XX01389,90,90,5,,,,,
XX01390,30,100,48,,,,,
XX01391,67,27,30,,,,,
XX01392,50,40,70,,,,,
XX01393,83,83,0,,,,,
XX01394,43,70,15,,,,,
XX01395,77,20,25,,,,,
XX01396,17,57,92,,,,,
XX01397,27,27,28,,,,,
XX01398,17,90,32,,,,,
XX01399,0,87,42,,,,,
XX01400,3,63,80,,,,,
XX01401,70,3,50,,,,,
XX01402,87,20,5,,,,,
XX01403,60,43,85,,,,,
XX01404,87,70,50,,,,,
XX01405,67,70,90,,,,,
XX01406,3,13,22,,,,,
XX01407,43,3,30,,,,,
XX01408,80,20,30,,,,,
XX01409,40,60,42,,,,,
XX01410,47,33,30,,,,,
XX01411,17,97,25,,,,,
XX01412,30,80,15,,,,,
XX01413,43,63,88,,,,,
XX01414,63,90,5,,,,,
XX01415,100,67,48,,,,,
XX01416,23,10,70,,,,,
XX01417,77,7,82,,,,,
XX01418,90,93,32,,,,,
XX01419,67,83,90,,,,,
XX01420,80,43,88,,,,,
XX01421,7,27,10,,,,,
XX01422,3,30,18,,,,,
XX01423,77,93,78,,,,,
XX01424,60,77,90,,,,,
XX01425,20,3,5,,,,,
XX01426,3,27,70,,,,,
XX01427,20,17,52,,,,,
XX01428,93,70,45,,,,,
XX01429,97,13,78,,,,,
XX01430,73,57,12,,,,,
XX01431,50,33,8,,,,,
XX01432,97,50,52,,,,,
XX01433,77,50,70,,,,,
XX01434,60,80,0,,,,,
XX01435,63,57,20,,,,,
XX01436,7,90,48,,,,,
XX01437,57,67,88,,,,,
XX01438,67,67,62,,,,,
XX01439,93,40,42,,,,,
XX01440,30,93,18,,,,,
XX01441,37,93,85,,,,,
XX01442,7,77,28,,,,,
XX01443,77,27,52,,,,,
XX01444,33,47,52,,,,,
XX01445,73,37,10,,,,,
XX01446,10,23,85,,,,,
XX01447,47,67,88,,,,,
XX01448,50,80,38,,,,,
XX01449,10,93,82,,,,,
XX01450,87,3,0,,,,,
XX01451,20,43,48,,,,,
XX01452,67,77,30,,,,,
XX01453,93,83,35,,,,,
XX01454,23,27,98,,,,,
XX01455,17,17,28,,,,,
XX01456,37,7,8,,,,,
XX01457,57,37,70,,,,,
XX01458,87,97,25,,,,,
XX01459,43,73,65,,,,,
XX01460,43,0,65,,,,,
XX01461,57,23,55,,,,,
XX01462,27,97,95,,,,,
XX01463,17,27,5,,,,,
XX01464,43,63,22,,,,,
XX01465,53,10,65,,,,,
XX01466,20,13,2,,,,,
XX01467,57,93,18,,,,,
XX01468,67,43,10,,,,,
XX01469,13,0,42,,,,,
XX01470,93,7,80,,,,,
XX01471,53,43,70,,,,,
XX01472,60,20,32,,,,,
XX01473,83,53,60,,,,,
XX01474,60,50,90,,,,,
XX01475,80,20,15,,,,,
XX01476,57,47,62,,,,,
XX01477,43,13,5,,,,,
XX01478,87,13,5,,,,,
XX01479,77,23,80,,,,,
XX01480,47,20,32,,,,,
XX01481,40,97,68,,,,,
XX01482,17,53,57,,,,,
XX01483,73,17,30,,,,,
XX01484,77,13,8,,,,,
XX01485,50,43,0,,,,,
XX01486,20,53,80,,,,,
XX01487,13,30,72,,,,,
XX01488,97,27,50,,,,,
XX01489,43,87,30,,,,,
XX01490,93,37,55,,,,,
XX01491,73,87,78,,,,,
XX01492,37,60,52,,,,,
XX01493,80,100,48,,,,,
XX01494,20,43,50,,,,,
XX01495,43,30,72,,,,,
XX01496,83,47,5,,,,,
XX01497,17,67,70,,,,,
XX01498,90,93,28,,,,,
XX01499,50,20,20,,,,,
XX01500,33,27,62,,,,,
XX01501,83,53,52,,,,,
XX01502,83,63,88,,,,,
XX01503,40,13,30,,,,,
XX01504,80,37,20,,,,,
XX01505,60,93,22,,,,,
XX01506,57,87,82,,,,,
XX01507,20,63,5,,,,,
XX01508,47,67,48,,,,,
XX01509,47,7,12,,,,,
XX01510,47,80,98,,,,,
XX01511,43,33,40,,,,,
XX01512,13,93,100,,,,,
XX01513,80,17,52,,,,,
XX01514,50,60,2,,,,,
XX01515,10,60,80,,,,,
XX01516,37,67,65,,,,,
XX01517,60,60,85,,,,,
XX01518,33,87,20,,,,,
XX01519,83,3,70,,,,,
XX01520,63,33,8,,,,,
XX01521,93,33,68,,,,,
XX01522,60,37,50,,,,,
XX01523,47,23,22,,,,,
XX01524,100,43,25,,,,,
XX01525,7,13,68,,,,,
XX01526,33,43,40,,,,,
XX01527,60,0,70,,,,,
XX01528,60,77,42,,,,,
XX01529,20,70,80,,,,,
XX01530,27,53,100,,,,,
XX01531,33,3,38,,,,,
XX01532,67,20,2,,,,,
XX01533,63,17,95,,,,,
XX01534,50,23,65,,,,,
XX01535,73,63,62,,,,,
XX01536,53,13,95,,,,,
XX01537,50,43,98,,,,,
XX01538,87,77,75,,,,,
XX01539,67,37,2,,,,,
XX01540,50,17,68,,,,,
XX01541,3,93,75,,,,,
XX01542,23,7,18,,,,,
XX01543,67,53,28,,,,,
XX01544,80,57,52,,,,,
XX01545,93,43,40,,,,,
XX01546,3,83,48,,,,,
XX01547,60,0,95,,,,,
XX01548,10,60,75,,,,,
XX01549,3,50,25,,,,,
XX01550,73,100,35,,,,,
XX01551,67,50,62,,,,,
XX01552,63,90,32,,,,,
XX01553,33,7,35,,,,,
XX01554,80,7,82,,,,,
XX01555,30,53,88,,,,,
XX01556,73,63,20,,,,,
XX01557,0,47,35,,,,,
XX01558,70,50,75,,,,,
XX01559,77,3,65,,,,,
XX01560,0,30,2,,,,,
XX01561,93,100,78,,,,,
XX01562,50,77,78,,,,,
XX01563,97,13,28,,,,,
XX01564,97,67,68,,,,,
XX01565,30,47,80,,,,,
XX01566,43,7,72,,,,,
XX01567,80,20,30,,,,,
XX01568,7,83,62,,,,,
XX01569,3,97,75,,,,,
XX01570,47,13,48,,,,,
XX01571,43,30,30,,,,,
XX01572,83,70,8,,,,,
XX01573,53,47,57,,,,,
XX01574,77,83,10,,,,,
XX01575,47,53,10,,,,,
XX01576,33,7,70,,,,,
XX01577,63,100,72,,,,,
XX01578,87,7,52,,,,,
XX01579,77,90,98,,,,,
XX01580,47,100,82,,,,,
XX01581,20,3,30,,,,,
XX01582,100,93,70,,,,,
XX01583,73,70,0,,,,,
XX01584,3,3,80,,,,,
XX01585,23,40,42,,,,,
XX01586,87,67,8,,,,,
XX01587,50,67,60,,,,,
XX01588,17,23,10,,,,,
XX01589,3,100,80,,,,,
XX01590,87,20,60,,,,,
XX01591,80,30,20,,,,,
XX01592,80,70,5,,,,,
XX01593,70,40,48,,,,,
XX01594,43,47,32,,,,,
XX01595,7,40,80,,,,,
XX01596,50,100,32,,,,,
XX01597,47,3,57,,,,,
XX01598,63,7,90,,,,,
XX01599,40,7,2,,,,,
XX01600,90,93,25,,,,,
XX01601,20,20,52,,,,,
XX01602,70,63,55,,,,,
XX01603,10,23,42,,,,,
XX01604,13,87,57,,,,,
XX01605,33,47,88,,,,,
XX01606,10,70,70,,,,,
XX01607,100,57,55,,,,,
XX01608,10,87,20,,,,,
XX01609,13,23,35,,,,,
XX01610,27,57,12,,,,,
XX01611,90,73,2,,,,,
XX01612,37,37,60,,,,,
XX01613,60,73,48,,,,,
XX01614,0,13,5,,,,,
XX01615,27,3,8,,,,,
XX01616,90,7,25,,,,,
XX01617,37,57,70,,,,,
XX01618,83,37,50,,,,,
XX01619,27,0,65,,,,,
XX01620,3,7,42,,,,,
XX01621,63,23,35,,,,,
XX01622,30,80,42,,,,,
XX01623,57,37,68,,,,,
XX01624,80,90,92,,,,,
XX01625,7,20,30,,,,,
XX01626,70,80,82,,,,,
XX01627,0,60,22,,,,,
XX01628,93,77,90,,,,,
XX01629,20,83,12,,,,,
XX01630,100,7,28,,,,,
XX01631,47,70,57,,,,,
XX01632,17,77,20,,,,,
XX01633,80,57,52,,,,,
XX01634,0,13,80,,,,,
XX01635,17,83,82,,,,,
XX01636,17,23,82,,,,,
XX01637,33,37,15,,,,,
XX01638,90,13,70,,,,,
XX01639,67,27,10,,,,,
XX01640,17,80,50,,,,,
XX01641,63,63,90,,,,,
XX01642,60,67,90,,,,,
XX01643,53,73,38,,,,,
XX01644,3,0,8,,,,,
XX01645,50,27,68,,,,,
XX01646,13,83,62,,,,,
XX01647,10,10,62,,,,,
XX01648,7,23,0,,,,,
XX01649,50,73,18,,,,,
XX01650,73,30,0,,,,,
XX01651,30,57,45,,,,,
XX01652,77,57,52,,,,,
XX01653,20,93,0,,,,,
XX01654,30,13,38,,,,,
XX01655,20,60,95,,,,,
XX01656,3,27,28,,,,,
XX01657,90,77,70,,,,,
XX01658,10,77,30,,,,,
XX01659,10,80,20,,,,,
XX01660,37,37,32,,,,,
XX01661,13,37,18,,,,,
XX01662,7,53,15,,,,,
XX01663,80,87,45,,,,,
XX01664,17,20,57,,,,,
XX01665,0,17,18,,,,,
XX01666,33,97,100,,,,,
XX01667,13,40,95,,,,,
XX01668,57,87,75,,,,,
XX01669,40,67,20,,,,,
XX01670,30,3,62,,,,,
XX01671,73,57,65,,,,,
XX01672,0,27,35,,,,,
XX01673,63,93,30,,,,,
XX01674,100,60,100,,,,,
XX01675,90,67,62,,,,,
XX01676,37,73,8,,,,,
XX01677,13,70,57,,,,,
XX01678,47,87,70,,,,,
XX01679,30,20,55,,,,,
XX01680,3,67,30,,,,,
XX01681,83,57,20,,,,,
XX01682,47,57,28,,,,,
XX01683,100,100,98,,,,,
XX01684,3,30,10,,,,,
XX01685,10,3,52,,,,,
XX01686,87,83,75,,,,,
XX01687,87,60,65,,,,,
XX01688,50,93,12,,,,,
XX01689,57,93,68,,,,,
XX01690,17,0,50,,,,,
XX01691,7,70,80,,,,,
XX01692,23,50,52,,,,,
XX01693,7,73,28,,,,,
XX01694,67,90,72,,,,,
XX01695,10,0,78,,,,,
XX01696,60,50,70,,,,,
XX01697,33,77,10,,,,,
XX01698,50,27,45,,,,,
XX01699,13,37,25,,,,,
XX01700,97,27,5,,,,,
XX01701,3,87,60,,,,,
XX01702,63,77,12,,,,,
XX01703,63,3,62,,,,,
XX01704,87,10,0,,,,,
XX01705,10,3,72,,,,,
XX01706,100,17,15,,,,,
XX01707,43,93,8,,,,,
XX01708,43,3,18,,,,,
XX01709,93,47,45,,,,,
XX01710,17,87,82,,,,,
XX01711,87,63,35,,,,,
XX01712,3,67,2,,,,,
XX01713,77,43,85,,,,,
XX01714,100,20,20,,,,,
XX01715,53,47,88,,,,,
XX01716,40,70,82,,,,,
XX01717,33,60,88,,,,,
XX01718,83,7,75,,,,,
XX01719,57,23,82,,,,,
XX01720,0,33,8,,,,,
XX01721,17,73,92,,,,,
XX01722,37,43,90,,,,,
XX01723,77,60,48,,,,,
XX01724,13,70,48,,,,,
XX01725,73,40,0,,,,,
XX01726,30,93,2,,,,,
XX01727,10,57,48,,,,,
XX01728,7,27,80,,,,,
XX01729,47,70,15,,,,,
XX01730,63,23,38,,,,,
XX01731,33,13,32,,,,,
XX01732,10,63,30,,,,,
XX01733,87,97,90,,,,,
XX01734,17,57,40,,,,,
XX01735,100,67,50,,,,,
XX01736,60,17,75,,,,,
XX01737,23,37,22,,,,,
XX01738,53,17,5,,,,,
XX01739,10,73,90,,,,,
XX01740,0,90,90,,,,,
XX01741,53,97,98,,,,,
XX01742,3,87,40,,,,,
XX01743,3,7,75,,,,,
XX01744,80,77,25,,,,,
XX01745,57,53,100,,,,,
XX01746,77,30,65,,,,,
XX01747,47,40,45,,,,,
XX01748,33,57,40,,,,,
XX01749,23,63,12,,,,,
XX01750,70,3,88,,,,,
XX01751,67,57,2,,,,,
XX01752,93,0,5,,,,,
XX01753,90,43,85,,,,,
XX01754,20,40,80,,,,,
XX01755,33,30,32,,,,,
XX01756,50,13,85,,,,,
XX01757,27,30,18,,,,,
XX01758,17,90,85,,,,,
XX01759,100,33,60,,,,,
XX01760,0,23,30,,,,,
XX01761,63,63,90,,,,,
XX01762,73,80,72,,,,,
XX01763,60,10,82,,,,,
XX01764,47,53,22,,,,,
XX01765,73,97,57,,,,,
XX01766,40,47,12,,,,,
XX01767,37,7,20,,,,,
XX01768,87,27,12,,,,,
XX01769,53,33,38,,,,,
XX01770,87,17,15,,,,,
XX01771,83,67,60,,,,,
XX01772,77,63,65,,,,,
XX01773,60,47,20,,,,,
XX01774,60,20,20,,,,,
XX01775,77,0,52,,,,,
XX01776,10,27,57,,,,,
XX01777,63,47,75,,,,,
XX01778,57,23,30,,,,,
XX01779,97,23,48,,,,,
XX01780,0,7,40,,,,,
XX01781,63,90,65,,,,,
XX01782,80,17,57,,,,,
XX01783,60,97,0,,,,,
XX01784,10,80,48,,,,,
XX01785,60,43,78,,,,,
XX01786,47,60,68,,,,,
XX01787,60,10,38,,,,,
XX01788,37,27,78,,,,,
XX01789,0,17,70,,,,,
XX01790,3,90,20,,,,,
XX01791,27,67,35,,,,,
XX01792,80,60,70,,,,,
XX01793,37,27,10,,,,,
XX01794,43,7,80,,,,,
XX01795,97,100,12,,,,,
XX01796,93,47,50,,,,,
XX01797,67,60,80,,,,,
XX01798,70,27,0,,,,,
XX01799,47,87,52,,,,,
XX01800,47,57,40,,,,,
XX01801,80,10,65,,,,,
XX01802,30,0,15,,,,,
XX01803,90,63,25,,,,,
XX01804,63,73,95,,,,,
XX01805,3,67,10,,,,,
XX01806,3,17,75,,,,,
XX01807,3,53,32,,,,,
XX01808,27,97,32,,,,,
XX01809,53,27,60,,,,,
XX01810,70,67,65,,,,,
XX01811,53,57,5,,,,,
XX01812,73,67,85,,,,,
XX01813,47,40,82,,,,,
XX01814,27,93,72,,,,,
XX01815,100,70,78,,,,,
XX01816,40,60,25,,,,,
XX01817,20,90,75,,,,,
XX01818,43,63,18,,,,,
XX01819,23,0,70,,,,,
XX01820,13,37,35,,,,,
XX01821,80,20,70,,,,,
XX01822,37,47,2,,,,,
XX01823,100,83,62,,,,,
XX01824,70,60,48,,,,,
XX01825,63,60,50,,,,,
XX01826,90,63,22,,,,,
XX01827,17,100,15,,,,,
XX01828,20,13,80,,,,,
XX01829,7,50,40,,,,,
XX01830,30,47,52,,,,,
XX01831,87,17,18,,,,,
XX01832,90,0,78,,,,,
XX01833,97,47,40,,,,,
XX01834,13,10,18,,,,,
XX01835,90,17,68,,,,,
XX01836,100,50,48,,,,,
XX01837,87,37,92,,,,,
XX01838,100,57,42,,,,,
XX01839,73,40,95,,,,,
XX01840,83,100,72,,,,,
XX01841,100,13,68,,,,,
XX01842,30,100,80,,,,,
XX01843,3,73,92,,,,,
XX01844,67,3,90,,,,,
XX01845,13,53,70,,,,,
XX01846,63,80,38,,,,,
XX01847,80,57,10,,,,,
XX01848,30,63,100,,,,,
XX01849,83,97,2,,,,,
XX01850,57,7,92,,,,,
XX01851,67,0,20,,,,,
XX01852,50,10,15,,,,,
XX01853,40,33,2,,,,,
XX01854,67,93,88,,,,,
XX01855,70,97,62,,,,,
XX01856,10,20,100,,,,,
XX01857,27,90,22,,,,,
XX01858,77,33,18,,,,,
XX01859,73,3,45,,,,,
XX01860,13,77,98,,,,,
XX01861,53,7,80,,,,,
XX01862,20,0,92,,,,,
XX01863,33,27,48,,,,,
XX01864,30,27,62,,,,,
XX01865,60,23,10,,,,,
XX01866,83,3,98,,,,,
XX01867,73,30,38,,,,,
XX01868,53,0,15,,,,,
